model,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_recall_macro_mean,cv_recall_macro_std
LinearSVC_C1.0,0.9926996747507182,0.0005487484712384037,0.9926419716675857,0.0006029696841368679,0.9926374189969822,0.0005983177931563454
LinearSVC_C2.0,0.9926200304950603,0.00036915218591804683,0.9925845118673859,0.0003709820300893272,0.9924624040758653,0.0004870617048417091
LinearSVC_C0.5,0.9923678474709258,0.0007183208438552279,0.9922297823510142,0.0007147409570613799,0.992383927739057,0.0006554209986034299
LogReg_C10.0,0.9913458025703049,0.0007721800328600255,0.9912108801408686,0.0007654379288203829,0.9916470315411603,0.0007220251534677531
LogReg_C5.0,0.9907883297802863,0.001095485775433143,0.9905552604399391,0.0010928754618840955,0.9911809357118908,0.0010242111043407243
LinearSVC_C0.1,0.9890229658027433,0.0006889531959103788,0.9882517330406632,0.0004668705971653767,0.9891020666961985,0.0005603887459526512
LogReg_C1.0,0.9877089104645037,0.0009091306276069982,0.9868472571764608,0.0006691751137162894,0.9883233600811469,0.0006965319154312631
RF_n300_dNone,0.9757363345237746,0.0007792920564204416,0.9726315955646332,0.001311484779952609,0.9726856662959065,0.0015810980268689996
MultinomialNB_a0.1,0.9742762761690817,0.000637192331256478,0.970890301909165,0.0007900521941447362,0.971666877099197,0.0012415757393253839
LogReg_C0.1,0.9726967567165572,0.0009755736375735982,0.9687899662680792,0.0010261044017649042,0.9735437366885478,0.0009224852038877454
MultinomialNB_a0.5,0.9707057340146497,0.0004728643769998536,0.9659197469944001,0.0012276985413823716,0.9639767258784039,0.0017212317187040814
MultinomialNB_a1.0,0.9670555590568128,0.0007101280766912062,0.9596057956196814,0.0019854860706766363,0.9534676273049246,0.0027410032586241175
RF_n200_d30,0.9409734669084232,0.0006373575306028376,0.9270378404462287,0.0010142013681822151,0.9411953968110218,0.0013207681584454524
RF_n100_d20,0.9198423274897299,0.0022131079695804482,0.9017427975713247,0.002740416765727401,0.9174152095580169,0.002918324351881936
