model,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_recall_macro_mean,cv_recall_macro_std
RF_n200_d30,0.8558270270270271,0.002234280731861414,0.8331628788868022,0.0027679624693476156,0.8249716785304256,0.003322165785598715
RF_n300_dNone,0.8556828828828827,0.0019986717446336287,0.8328540990889758,0.002747266255439485,0.8243847497983209,0.00305451112759155
RF_n100_d20,0.847899099099099,0.0012320741273575784,0.8249991025684995,0.0012700213233895609,0.8223379313014464,0.001985284653043936
LinearSVC_C2.0,0.6086342342342342,0.0021633150079716852,0.5524322277121774,0.002628348539810019,0.5689561032798631,0.002536915850421196
LinearSVC_C1.0,0.6086054054054054,0.0021460541118419234,0.5523930387459612,0.002538934741181057,0.5689718943361217,0.002518282732371317
LinearSVC_C0.5,0.6085333333333333,0.0023343341969757096,0.5522889071797602,0.0027682029735005696,0.5689417867190009,0.0026458547020225555
LinearSVC_C0.1,0.6073369369369369,0.002152241504768026,0.5507330927927112,0.002862209548563706,0.5679152736414528,0.003152224991777656
LogReg_C10.0,0.5738522522522522,0.0026825531171556743,0.5418074917247087,0.0032438903717754283,0.578526084556483,0.0036904969450585402
LogReg_C5.0,0.573736936936937,0.002881657397186579,0.5416490603682836,0.0033693938809144434,0.5784343653829578,0.003887507002241654
LogReg_C1.0,0.5727135135135135,0.0024031902612027347,0.5406116735909426,0.0031350101080019717,0.578084392226436,0.0038553703844413276
LogReg_C0.1,0.5674378378378377,0.001462477138255651,0.5348566241769929,0.0021119595690043172,0.5733641662312855,0.0029729685738768765
