model,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_recall_macro_mean,cv_recall_macro_std
LinearSVC_C2.0,0.9925814241059072,0.0006382546128365235,0.9918910216522823,0.0007470588924065769,0.9919460328834842,0.0008161682132700185
LinearSVC_C1.0,0.9924507673539287,0.0007400488638691382,0.9918067412059786,0.0009176540872987648,0.9919052829057098,0.0009210759654151063
LinearSVC_C0.5,0.9921604104688274,0.0007357717136805668,0.9914885089884022,0.0008910198165228578,0.9915503495790488,0.0008577748156667091
LinearSVC_C0.1,0.989692384848858,0.0008375472638781574,0.98844798554587,0.0010358214696434664,0.9888343960870758,0.0007103622835314506
LogReg_C10.0,0.9835368477584339,0.0021969718793678882,0.981419074114101,0.002686668845601637,0.9837756567863594,0.001935274695447267
LogReg_C5.0,0.9832464898195473,0.002197946973561102,0.981122270133374,0.0026566374997655765,0.983502888081064,0.0018876047286063033
RF_n300_dNone,0.9822592635540204,0.0011727427973956934,0.9795612415385202,0.0017833667044278817,0.9787790053613954,0.0021946726286666794
LogReg_C1.0,0.9809962247503519,0.0022459010227970713,0.9782826343983488,0.0028873538755186563,0.9811296674135157,0.002158400203303556
RF_n200_d30,0.9652299018453638,0.0010654402150884485,0.9578377512386176,0.0014351442716833524,0.9657950795190835,0.0016766036938526418
LogReg_C0.1,0.961135869449301,0.0005085311365206198,0.9543251977874319,0.0008326951318258992,0.9613501269008339,0.0005338767635822603
RF_n100_d20,0.9468793829571867,0.0018140375867020846,0.9348816710830086,0.002637579159350064,0.9473024530220899,0.0027469699485938477
