                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1683,                  1.805,                 1.1261,                 0.7753,                0.54956,                0.60462,                0.41297,                 1.0313,                 1.1864,                0.97515,              0.0033329,              0.0033329,              0.0033329
                      2,                0.91518,                 1.1717,                0.96692,                0.70197,                0.62309,                0.69477,                0.49413,                0.90661,                0.90156,                0.91234,              0.0064463,              0.0064463,              0.0064463
                      3,                0.85955,                 1.0001,                0.94799,                0.74141,                0.70782,                0.75825,                0.53988,                0.91185,                0.80273,                0.89841,              0.0093396,              0.0093396,              0.0093396
                      4,                0.79381,                0.88215,                0.93545,                0.79492,                0.73261,                0.80474,                0.59762,                0.84423,                0.70061,                0.88205,                0.00901,                0.00901,                0.00901
                      5,                0.73421,                0.79527,                0.92174,                0.82145,                0.74669,                0.82841,                0.63053,                0.80076,                 0.6556,                0.87248,                0.00901,                0.00901,                0.00901
                      6,                0.69532,                0.75042,                0.91218,                0.84163,                0.76361,                0.84406,                0.64732,                0.78457,                0.62494,                 0.8676,                0.00868,                0.00868,                0.00868
                      7,                0.66904,                0.71604,                0.90626,                0.84171,                0.76906,                0.85302,                0.65917,                0.75911,                0.60379,                0.86116,                0.00835,                0.00835,                0.00835
                      8,                0.64759,                 0.6906,                0.90091,                0.84945,                0.77372,                0.85975,                0.66497,                0.77063,                0.59536,                0.86116,                0.00802,                0.00802,                0.00802
                      9,                0.63043,                 0.6715,                0.89691,                0.84361,                0.78952,                  0.864,                0.66932,                0.76469,                 0.5875,                 0.8594,                0.00769,                0.00769,                0.00769
                     10,                0.61572,                0.65627,                0.89419,                 0.8512,                0.78532,                0.86769,                0.67354,                0.76021,                0.57987,                0.85816,                0.00736,                0.00736,                0.00736
                     11,                0.60394,                0.64242,                0.89165,                0.85376,                0.78684,                0.87044,                0.67644,                0.75397,                0.57478,                0.85741,                0.00703,                0.00703,                0.00703
                     12,                0.59279,                0.62943,                0.88927,                0.86322,                0.78692,                0.87159,                0.67953,                0.74908,                0.56845,                0.85612,                 0.0067,                 0.0067,                 0.0067
                     13,                0.58284,                0.61907,                0.88714,                0.86657,                0.78536,                0.87312,                0.68141,                0.74742,                0.56445,                0.85551,                0.00637,                0.00637,                0.00637
                     14,                0.57425,                0.61206,                0.88496,                0.86734,                 0.7895,                0.87505,                0.68361,                0.74409,                0.56044,                0.85459,                0.00604,                0.00604,                0.00604
                     15,                0.56728,                0.59999,                0.88298,                0.86836,                0.79119,                0.87625,                0.68547,                0.74276,                  0.557,                0.85393,                0.00571,                0.00571,                0.00571
                     16,                0.55938,                0.59529,                0.88156,                0.86594,                0.79419,                0.87755,                0.68725,                0.74112,                0.55425,                0.85331,                0.00538,                0.00538,                0.00538
                     17,                0.55158,                0.58358,                0.87983,                0.86756,                0.79548,                0.87893,                0.68877,                0.73966,                0.55175,                 0.8528,                0.00505,                0.00505,                0.00505
