                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2312,                 1.8071,                 1.1279,                0.72693,                0.50323,                0.55158,                0.36576,                 1.0823,                 1.2364,                0.95803,              0.0033326,              0.0033326,              0.0033326
                      2,                0.95887,                 1.1662,                0.96793,                0.72011,                 0.6077,                0.66009,                0.45512,                 0.9792,                0.98729,                0.90019,              0.0063359,              0.0063359,              0.0063359
                      3,                0.88878,                 1.0152,                0.94208,                0.74113,                0.66073,                0.72678,                0.51138,                0.91132,                0.85452,                0.87496,              0.0090093,              0.0090093,              0.0090093
                      4,                0.81512,                0.89604,                0.92645,                0.75729,                0.69471,                0.77482,                 0.5481,                 0.8855,                0.76913,                0.85841,               0.008515,               0.008515,               0.008515
                      5,                0.75287,                0.81006,                0.91381,                0.77656,                0.72175,                0.79562,                0.57779,                0.84166,                0.71035,                0.85269,               0.008515,               0.008515,               0.008515
                      6,                0.71118,                0.75666,                0.90579,                0.80544,                0.72476,                0.81278,                0.60075,                0.81654,                0.68391,                0.84582,                0.00802,                0.00802,                0.00802
                      7,                0.68134,                 0.7229,                0.89956,                0.80904,                 0.7357,                0.82187,                0.60986,                 0.8171,                0.66445,                0.84518,               0.007525,               0.007525,               0.007525
                      8,                0.65451,                0.68976,                0.89378,                0.81034,                0.74969,                0.83215,                0.61688,                0.81748,                0.65253,                0.84252,                0.00703,                0.00703,                0.00703
                      9,                0.63796,                0.67305,                0.89009,                0.80352,                0.75565,                0.83345,                0.62452,                0.80306,                0.63734,                0.84172,               0.006535,               0.006535,               0.006535
                     10,                0.62368,                0.65756,                 0.8873,                0.81127,                0.75575,                0.83743,                0.62856,                0.79808,                0.62777,                0.84009,                0.00604,                0.00604,                0.00604
                     11,                0.64015,                0.61676,                0.86001,                0.81114,                0.77282,                0.84572,                0.63662,                 0.7948,                 0.6137,                0.83813,               0.005545,               0.005545,               0.005545
                     12,                0.61645,                0.58998,                0.85502,                0.82316,                0.77942,                0.85302,                0.64379,                0.78355,                0.60276,                0.83585,                0.00505,                0.00505,                0.00505
                     13,                0.59945,                0.57069,                0.85147,                0.82431,                0.78376,                0.85621,                 0.6485,                0.77445,                 0.5945,                0.83411,               0.004555,               0.004555,               0.004555
                     14,                0.58521,                0.55586,                0.84885,                 0.8307,                0.77897,                0.85797,                0.65231,                0.76836,                0.58946,                0.83323,                0.00406,                0.00406,                0.00406
                     15,                0.57207,                0.54028,                0.84544,                0.83836,                0.77794,                 0.8594,                0.65484,                0.76588,                0.58553,                0.83254,               0.003565,               0.003565,               0.003565
                     16,                0.55925,                0.52698,                0.84327,                0.84077,                0.77692,                0.86086,                0.65612,                0.76516,                0.58238,                0.83201,                0.00307,                0.00307,                0.00307
                     17,                0.54634,                0.51261,                0.84079,                0.84348,                0.77989,                0.86252,                0.65814,                0.76414,                0.57938,                0.83148,               0.002575,               0.002575,               0.002575
                     18,                0.53391,                 0.4994,                0.83813,                0.83749,                0.78484,                0.86389,                0.65983,                0.76302,                0.57636,                0.83095,                0.00208,                0.00208,                0.00208
                     19,                0.52079,                 0.4859,                0.83531,                0.84062,                0.78518,                0.86494,                0.66129,                0.76149,                0.57373,                0.83038,               0.001585,               0.001585,               0.001585
                     20,                0.50941,                0.47228,                0.83368,                0.84352,                0.78578,                0.86638,                0.66279,                0.75934,                0.57094,                0.82975,                0.00109,                0.00109,                0.00109
