                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58443,                 1.6692,                 1.2634,                 0.7473,                0.54023,                0.74605,                0.70501,                0.38932,                 1.2624,                0.59051,              0.0033322,              0.0033322,              0.0033322
                      2,                0.37909,                0.81167,                  1.076,                 0.5846,                 0.6486,                 0.6641,                 0.6272,                0.38528,                 1.0667,                0.56975,              0.0063356,              0.0063356,              0.0063356
                      3,                0.38197,                0.70776,                 1.0714,                0.61815,                0.77524,                0.71271,                 0.6665,                0.38083,                  1.065,                0.55317,               0.009009,               0.009009,               0.009009
                      4,                0.34582,                0.61571,                 1.0479,                0.57526,                0.85376,                0.76928,                0.69881,                0.37459,                0.92791,                0.54757,               0.008515,               0.008515,               0.008515
                      5,                0.31363,                0.54852,                 1.0285,                0.72447,                0.79037,                0.84874,                0.79479,                0.38337,                0.78629,                0.55786,               0.008515,               0.008515,               0.008515
                      6,                0.28531,                0.49955,                 1.0118,                 0.7047,                0.79592,                0.83879,                  0.803,                0.34634,                0.80239,                0.49124,                0.00802,                0.00802,                0.00802
                      7,                0.26739,                0.46308,                 1.0009,                0.83336,                0.73268,                0.88205,                0.85056,                0.34439,                0.77328,                0.49736,               0.007525,               0.007525,               0.007525
                      8,                0.25343,                0.43555,                0.99341,                0.83127,                0.80783,                0.89826,                0.86888,                0.31369,                0.60756,                0.45552,                0.00703,                0.00703,                0.00703
                      9,                0.24225,                0.41554,                0.98753,                0.75195,                0.82069,                0.87468,                0.85296,                0.29605,                0.75318,                0.42427,               0.006535,               0.006535,               0.006535
                     10,                0.22975,                0.39829,                0.98039,                0.80151,                0.80018,                0.88403,                0.86204,                0.28885,                0.67486,                0.41559,                0.00604,                0.00604,                0.00604
                     11,                0.05808,                0.23203,                0.91202,                 0.7591,                0.84851,                0.87043,                0.86413,                0.24404,                0.91182,                0.34993,               0.005545,               0.005545,               0.005545
                     12,                0.04076,                 0.1968,                0.90341,                0.75772,                0.85838,                0.86652,                0.86445,                0.23318,                0.96671,                0.32573,                0.00505,                0.00505,                0.00505
                     13,                0.03551,                0.17609,                0.90201,                0.76238,                0.87211,                0.87174,                0.87108,                 0.2307,                0.93954,                0.31866,               0.004555,               0.004555,               0.004555
                     14,                0.03243,                 0.1592,                0.90157,                0.77416,                0.86027,                0.86931,                0.86911,                0.22953,                0.98154,                0.31622,                0.00406,                0.00406,                0.00406
                     15,                0.02976,                0.14238,                 0.8994,                0.77157,                0.86305,                0.86731,                0.86721,                0.22589,                 1.0271,                0.31008,               0.003565,               0.003565,               0.003565
                     16,                    inf,                 0.1285,                0.89988,                0.77977,                0.86276,                0.87424,                0.87418,                 0.2243,                 1.0016,                0.30605,                0.00307,                0.00307,                0.00307
                     17,                0.02492,                0.11824,                0.90054,                0.77709,                0.86816,                0.88246,                0.88244,                0.22255,                0.98944,                0.30218,               0.002575,               0.002575,               0.002575
                     18,                0.02236,                0.10442,                0.89785,                0.77706,                0.86986,                0.88746,                0.88746,                0.22056,                0.98274,                0.29876,                0.00208,                0.00208,                0.00208
                     19,                 0.0199,                0.09475,                0.89736,                0.77642,                 0.8724,                0.88955,                0.88955,                 0.2189,                0.97865,                0.29631,               0.001585,               0.001585,               0.001585
                     20,                0.01719,                 0.0809,                0.89773,                0.77816,                0.87096,                0.89209,                0.89208,                0.21753,                0.97611,                0.29399,                0.00109,                0.00109,                0.00109
